Matching Entries:
mahArawa: rAw/a__n
mahAsawI: ladak/I__n
mahAvrawI: ajAwI/__adj
mahawI: ajAwI/__adj
mahawo: redio/__n
mahAwyAgI: ajAwI/__adj
mahAxevI: ladak/I__n
mAhI: ladak/I__n
mahimAmayI: ajAwI/__adj
mahiRI: ladak/I__n
mahORaXi: Apawwi/__n
mAI: ladak/I__n
majabUrI: ladak/I__n
majahabI: ajAwI/__adj
majalisa: rAw/a__n
makadI: ladak/I__n
maKAgni: SAnwi/__n
maKamala: rAw/a__n
maKamalI: ajAwI/__adj
makarI: ladak/I__n
maKaxveRI: ajAwI/__adj
makkArI: ladak/I__n
makKI: ladak/I__n
makunI: ladak/I__n
mAlagAdI: ladak/I__n
mAlinI: ladak/I__n
mallaBUmi: SAnwi/__n
mallAhI: ajAwI/__adj
maMdarA: KA/__v
maMdI: ladak/I__n
maMdUkI: ladak/I__n
maMgalakAmanA: ASA/__n
maMgalakArI: ajAwI/__adj
maMgalaXvani: Apawwi/__n
mamI: ladak/I__n
mAmI: ladak/I__n
maMjarI: ladak/I__n
maMjila: rAw/a__n
mAMsaBakRI: ajAwI/__adj
mAMsaBojI: ajAwI/__adj
mAMsapeSI: ladak/I__n
mAmUlI: ajAwI/__adj
maMWaragawi: SAnwi/__n
maMwrasaMhiwA: ASA/__n
maMwrasixXi: SAnwi/__n
maMwraSruwi: SAnwi/__n
maMwravix: BARAvix/__n
maMwriNI: ladak/I__n
maMwripariRaxa: rAw/a__n
maMxagawi: SAnwi/__n
maMxAgni: SAnwi/__n
manaHprIwi: SAnwi/__n
manahUsI: ladak/I__n
manaHwqpwi: SAnwi/__n
manaHwuRti: SAnwi/__n
manA: KA/__v
mAnamanOala: rAw/a__n
mAnamanOwI: ladak/I__n
manamOjI: ajAwI/__adj
manasvI: ajAwI/__adj
manasvinI: ladak/I__n
manavA: KA/__v
mAnavI: ladak/I__n
mAnavikI: ladak/I__n
manihArana: rAw/a__n
maNi: Apawwi/__n
maNimAlA: ASA/__n
manIRI: ajAwI/__adj
manmaWI: ajAwI/__adj
mannawa: rAw/a__n
manoharawAI: ladak/I__n
manohArI: ajAwI/__adj
manovqwwi: Apawwi/__n
manOwI: ladak/I__n
mArakAta: rAw/a__n
maramarAhata: rAw/a__n
marammawI: ajAwI/__adj
mAraPawa: rAw/a__n
mAravAdI: ajAwI/__adj
maravA: KA/__v
mAraXAda: rAw/a__n
markatI: ladak/I__n
marmaBexI: ajAwI/__adj
marmaGAwI: ajAwI/__adj
marmasparSI: ajAwI/__adj
marmaveXI: ajAwI/__adj
maroda: uT/a__v
maruBUmi: Apawwi/__n
maryAxI: ajAwI/__adj
masaharI: ladak/I__n
masajixa: rAw/a__n
masaka: uT/a__v
maSakkawI: ajAwI/__adj
maSAla: rAw/a__n
masala: uT/a__v
masanaxa: rAw/a__n
masIhI: ajAwI/__adj
mAsI: ladak/I__n
maSInagana: rAw/a__n
maSIna: rAw/a__n
maSInI: ajAwI/__adj
masjixa: rAw/a__n
mAstarI: ladak/I__n
mAsUkI: ladak/I__n
masUrI: ladak/I__n
matakI: ladak/I__n
matara: rAw/a__n
matiyA: KA/__v
mattI: ladak/I__n
mAwahawI: ladak/I__n
mawalA: KA/__v
mAwAmahI: ladak/I__n
mAwamI: ajAwI/__adj
maWAnI: ladak/I__n
mawapetikA: ASA/__n
mawAXikArI: ajAwI/__adj
mawi: Apawwi/__n
mawI: ladak/I__n
mAwulAnI: ladak/I__n
maxanalaharI: ladak/I__n
mAxrI: ladak/I__n
maXumakKI: ladak/I__n
mAXurI: ladak/I__n
maxyapAyI: ajAwI/__adj
maXyarAwri: Apawwi/__n
maXyavarwI: ajAwI/__adj
mayakaSI: ladak/I__n
mAyAvI: ajAwI/__adj
mayUKI: ajAwI/__adj
mayUrI: ladak/I__n
mazdarA: KA/__v
mazgA: KA/__v
mAzga: uT/a__v
mazgavA: KA/__v
mazja: uT/a__v
mAzja: uT/a__v
mazjavA: KA/__v
mAzxa: rAw/a__n
meDakI: ladak/I__n
meGamAlI: ajAwI/__adj
mehamAnanavAjI: ladak/I__n
meharAba: rAw/a__n
meharAbI: ajAwI/__adj
mehawarAnI: ladak/I__n
meja: rAw/a__n
melA: kAl/A__n
melatrena: rAw/a__n
meRasaMkrAMwi: SAnwi/__n
mEWilI: ladak/I__n
mExAnI: ajAwI/__adj
meXAvI: ajAwI/__adj
meXAvinI: ajAwI/__adj
mexinI: ladak/I__n
mEyawa: rAw/a__n
mIAxI: ajAwI/__adj
micakA: KA/__v
micalA: KA/__v
micOlI: ladak/I__n
micOnI: ladak/I__n
mijAjapurasI: ladak/I__n
mijAjI: ajAwI/__adj
milAI: ladak/I__n
milA: KA/__v
milavA: KA/__v
milAvatI: ajAwI/__adj
milkIyawa: rAw/a__n
mimiyA: KA/__v
mIna: rAw/a__n
minaminA: KA/__v
mInAra: rAw/a__n
minnawa: rAw/a__n
mirca: rAw/a__n
misAla: rAw/a__n
miSraXAwu: qwu/__n
misrI: ajAwI/__adj
miSrI: ladak/I__n
miTAI: ladak/I__n
mitA: KA/__v
mItarI: ladak/I__n
mItiMga: rAw/a__n
mittI: ladak/I__n
mitTI: ladak/I__n
miwaBARI: ajAwI/__adj
miwaBojI: ajAwI/__adj
miwavyayI: ajAwI/__adj
miwi: Apawwi/__n
miwraxrohI: ajAwI/__adj
miWyABARI: ajAwI/__adj
miWyAvAxI: ajAwI/__adj
miyAxI: ajAwI/__adj
miyAz: ku/Az__n
mlecCajAwi: Apawwi/__n
mohanI: ladak/I__n
mohara: rAw/a__n
moharAwri: Apawwi/__n
moharI: ladak/I__n
mohinI: ajAwI/__adj
mOja: rAw/a__n
mOjI: ajAwI/__adj
momabawwI: ladak/I__n
momI: ajAwI/__adj
mOMjI: ladak/I__n
mOnI: ajAwI/__adj
moranI: ladak/I__n
mOsamI: ajAwI/__adj
mOsI: ladak/I__n
mOsimI: ajAwI/__adj
motarabota: rAw/a__n
motara: rAw/a__n
motarakAra: rAw/a__n
motaralArI: ladak/I__n
motarasAikila: rAw/a__n
motIbAwa: rAw/a__n
mOwa: rAw/a__n
mowI: ladak/I__n
mqgAkRI: ajAwI/__adj
mqgalocanI: ladak/I__n
mqganayanI: ladak/I__n
mqNAlI: ladak/I__n
mqwyu: qwu/__n
mqxaMgI: ajAwI/__adj
mqxinI: ladak/I__n
mqxuBARI: ajAwI/__adj
mudA: KA/__v
mUda: uT/a__v
muhabbawI: ajAwI/__adj
muhara: rAw/a__n
muharramI: ajAwI/__adj
muKAgni: SAnwi/__n
muKakAMwi: SAnwi/__n
muKAkqwi: Apawwi/__n
muKAlaPawa: rAw/a__n
muKApekRI: ajAwI/__adj
muKaruci: SAnwi/__n
muKaSuxXi: SAnwi/__n
muKawArI: ladak/I__n
muKI: ajAwI/__adj
mukkI: ladak/I__n
mukutaXArI: ajAwI/__adj
mukwAvalI: ladak/I__n
mukwaveNI: ladak/I__n
mulAkAwa: rAw/a__n
mUlI: ladak/I__n
mulwavI: ajAwI/__adj
mUlyavqxXi: SAnwi/__n
mUMCa: rAw/a__n
muMdera: rAw/a__n
muMdI: ladak/I__n
munikanyA: ASA/__n
muragI: ladak/I__n
muraJA: KA/__v
muralI: ladak/I__n
muramurA: KA/__v
murAxa: rAw/a__n
murgI: ladak/I__n
mUrKamaMdalI: ladak/I__n
murkI: ladak/I__n
mUrwi: Apawwi/__n
murxanI: ladak/I__n
musakA: KA/__v
musalamAnI: ladak/I__n
musIbawa: rAw/a__n
muskarA: KA/__v
muSkila: rAw/a__n
mutA: KA/__v
mutiyA: KA/__v
mutTI: ladak/I__n
mUzCa: rAw/a__n
mUzda: uT/a__v
mUzdI: ladak/I__n
mUzgaPalI: ladak/I__n
myAna: rAw/a__n
nabeda: uT/a__v
nABi: Apawwi/__n
nabI: ladak/I__n
nacA: KA/__v
nAca: uT/a__v
nAgabela: rAw/a__n
nAgakanyA: ASA/__n
nagaranArI: ladak/I__n
nagarI: ladak/I__n
nAgarI: ladak/I__n
nAgI: ladak/I__n
nAgina: rAw/a__n
nahA: KA/__v
nahara: rAw/a__n
naI: ajAwI/__adj
najara: rAw/a__n
najaxIkI: ladak/I__n
najIra: rAw/a__n
nakabesara: rAw/a__n
nAka: rAw/a__n
nAKa: rAw/a__n
nakalabahI: ladak/I__n
nakala: rAw/a__n
nakalI: ajAwI/__adj
nakAra: uT/a__v
nakatI: ladak/I__n
nakela: rAw/a__n
nakiyA: KA/__v
nakRawramAlA: ASA/__n
nakRawrasUcI: ladak/I__n
nakRawrI: ajAwI/__adj
nakwaBojI: ajAwI/__adj
nalakIla: rAw/a__n
nalamIna: rAw/a__n
nalI: ladak/I__n
nAlI: ladak/I__n
nalinI: ladak/I__n
namAjI: ajAwI/__adj
nAmaXArI: ajAwI/__adj
naMbarI: ajAwI/__adj
nAMxI: ladak/I__n
nAna: rAw/a__n
nanaxa: rAw/a__n
nAnI: ladak/I__n
naniyAsAsa: rAw/a__n
nApawOla: rAw/a__n
narabali: Apawwi/__n
narakagAmI: ajAwI/__adj
nAraMgI: ladak/I__n
naranArI: ladak/I__n
nArI: ladak/I__n
nArIkelI: ladak/I__n
nAriyalI: ladak/I__n
narsarI: ladak/I__n
narwakI: ladak/I__n
nasa: rAw/a__n
nasala: rAw/a__n
nasIhawa: rAw/a__n
nasla: rAw/a__n
natI: ladak/I__n
nAtyokwi: Apawwi/__n
nAva: rAw/a__n
navajAgarwi: SAnwi/__n
navAja: uT/a__v
navalavaXU: bah/U__n
navaniXi: Apawwi/__n
navaraMgI: ajAwI/__adj
navaSakwi: Apawwi/__n
navavaXU: bah/U__n
naWanI: ladak/I__n
nAwexArI: ladak/I__n
nawi: Apawwi/__n
nAwina: rAw/a__n
nawinI: ladak/I__n
nAxa: rAw/a__n
nAXa: uT/a__v
nAxAnI: ladak/I__n
naxI: ladak/I__n
nAzxa: rAw/a__n
nepAlI: ajAwI/__adj
newAjI: ladak/I__n
nibAha: uT/a__v
niBA: KA/__v
nicoda: uT/a__v
nicuda: uT/a__v
nigAha: rAw/a__n
nigala: uT/a__v
nIgro: redio/__n
nikalavA: KA/__v
niKAra: uT/a__v
nikatavarwI: ajAwI/__adj
nikRepI: ajAwI/__adj
nIlagAya: rAw/a__n
nIlamaNi: Apawwi/__n
nIlI: ladak/I__n
nimeRa: rAw/a__n
nipatA: KA/__v
nipAwI: ajAwI/__adj
nirA: KA/__v
nirAmiRASI: ajAwI/__adj
niReXAjFA: ASA/__n
niReXaviXi: Apawwi/__n
nirJariNI: ladak/I__n
niRpawwi: Apawwi/__n
nirUDi: Apawwi/__n
nirupayogI: ajAwI/__adj
nirxeSapuswaka: rAw/a__n
nirxoRI: ajAwI/__adj
niSIWinI: ladak/I__n
niWAra: uT/a__v
nIwi: Apawwi/__n
niwyasvAXyAyI: ajAwI/__adj
niXi: Apawwi/__n
niyamaviXi: Apawwi/__n
niyamI: ajAwI/__adj
niyawApwi: SAnwi/__n
niyawi: Apawwi/__n
niyawivAxI: ajAwI/__adj
niyogI: ajAwI/__adj
niyukwi: Apawwi/__n
nObawa: rAw/a__n
noka: rAw/a__n
nOkarAnI: ladak/I__n
nOkarI: ladak/I__n
nOtaMkI: ladak/I__n
nqwyaSAlA: ASA/__n
numAiSa: rAw/a__n
numAiSI: ajAwI/__adj
nyAyasaBA: ASA/__n
nyAyavAxI: ajAwI/__adj
nyAyI: ajAwI/__adj
oDA: KA/__v
oDanI: ladak/I__n
ojasvI: ajAwI/__adj
oKalI: ladak/I__n
OlAxa: rAw/a__n
Orawa: rAw/a__n
oRaXi: Apawwi/__n
ORaXi: Apawwi/__n
oRaXI: ladak/I__n
ORaXI: ladak/I__n
OtA: KA/__v
Paba: uT/a__v
pAbaMxI: ladak/I__n
PabawI: ladak/I__n
paCAda: uT/a__v
pacA: KA/__v
pacAsI: ajAwI/__adj
paCawA: KA/__v
paDA: KA/__v
PAda: uT/a__v
PadakA: KA/__v
Padaka: uT/a__v
Padakana: rAw/a__n
PadaPadA: KA/__v
PadavA: KA/__v
padawAla: rAw/a__n
padZOsI: ladak/I__n
pagadI: ladak/I__n
pagA: KA/__v
pAga: rAw/a__n
pagalI: ladak/I__n
pAgalinI: ladak/I__n
pahacAna: uT/a__v
pahAdI: ladak/I__n
pahanA: KA/__v
PaharA: KA/__v
pahelI: ladak/I__n
pAhI: ladak/I__n
pahunAI: ladak/I__n
pahuzcA: KA/__v
pahuzcI: ladak/I__n
PAila: rAw/a__n
pA: KA/__v
pAjeba: rAw/a__n
pakadavA: KA/__v
pakA: KA/__v
pAkanajara: rAw/a__n
paKAra: uT/a__v
pAkaSAlA: ASA/__n
pakavA: KA/__v
pAkiswAnI: ajAwI/__adj
pakOdI: ladak/I__n
pakRapAwI: ajAwI/__adj
pakRiNI: ladak/I__n
pakwi: Apawwi/__n
PalAhArI: ajAwI/__adj
PalahArI: ladak/I__n
palaka: rAw/a__n
pAlakI: ladak/I__n
PalaniRpawwi: SAnwi/__n
PalAnveRI: ajAwI/__adj
PalArWI: ajAwI/__adj
PalaSAlI: ajAwI/__adj
PalasixXi: Apawwi/__n
palatana: rAw/a__n
PalAzga: uT/a__v
PalI: ladak/I__n
pAliSa: rAw/a__n
pAlisI: ladak/I__n
pallavagrAhI: ajAwI/__adj
pallavI: ajAwI/__adj
Palowpawwi: SAnwi/__n
paMcakarmI: ladak/I__n
paMcakosI: ladak/I__n
paMcakroSI: ladak/I__n
paMcaraSmi: Apawwi/__n
paMcasaMXi: Apawwi/__n
paMcaxaSI: ladak/I__n
paMcAyawa: rAw/a__n
paMcAyawI: ajAwI/__adj
pAMcoM: sarasoM/__n
paMdiwamAnI: ajAwI/__adj
paMdiwAnI: ladak/I__n
pAMdulipi: Apawwi/__n
paMjAbI: ladak/I__n
paMji: Apawwi/__n
paMjikA: ASA/__n
paMKadI: ladak/I__n
paMkwi: Apawwi/__n
pAMSu: qwu/__n
panacakkI: ladak/I__n
panadubbI: ladak/I__n
panAha: rAw/a__n
pAnasupArI: ladak/I__n
PannI: ladak/I__n
pApanASI: ajAwI/__adj
pApanASinI: ladak/I__n
pAparogI: ajAwI/__adj
PaPaxa: uT/a__v
pApayoni: Apawwi/__n
pappI: ladak/I__n
paraCAI: ladak/I__n
paragAmI: ajAwI/__adj
parajI: ajAwI/__adj
paraKanalI: ladak/I__n
paramagawi: SAnwi/__n
ParamAiSa: rAw/a__n
ParamAiSI: ajAwI/__adj
parAmarSI: ladak/I__n
paramArWI: ajAwI/__adj
parameRTinI: ladak/I__n
paramuKApekRI: ajAwI/__adj
paranAnI: ladak/I__n
paraparAhata: rAw/a__n
paraparA: KA/__v
ParArI: ajAwI/__adj
parasA: KA/__v
ParaSI: ajAwI/__adj
PArasI: ladak/I__n
parASrayI: ladak/I__n
paraswrI: ladak/I__n
parAvixyA: ASA/__n
parAvqwwi: Apawwi/__n
parawa: rAw/a__n
parAwa: rAw/a__n
parawI: ladak/I__n
pAraxarSI: ajAwI/__adj
pareSAnI: ladak/I__n
pariBARI: ajAwI/__adj
pariBavI: ajAwI/__adj
pariBAvI: ajAwI/__adj
pariGAwI: ajAwI/__adj
parI: ladak/I__n
pArI: ladak/I__n
pariGatanA: ASA/__n
parilabXi: Apawwi/__n
parimiwi: Apawwi/__n
pariNAmI: ajAwI/__adj
parinivqwwi: SAnwi/__n
paripATI: ladak/I__n
paripqcCA: ASA/__n
pariRax: BARAvix/__n
pariRkqwi: Apawwi/__n
parisaMKyA: ASA/__n
pariSuxXi: Apawwi/__n
parisWiwi: Apawwi/__n
pariwApI: ajAwI/__adj
pariwoRI: ajAwI/__adj
pariwqpwi: Apawwi/__n
pariwuRti: Apawwi/__n
pariwyAgI: ajAwI/__adj
pariXAvI: ajAwI/__adj
pariXi: Apawwi/__n
PariyAxa: rAw/a__n
PariyAxI: ajAwI/__adj
ParjI: ajAwI/__adj
Parma: rAw/a__n
parNakutI: ladak/I__n
parokRavqwwi: Apawwi/__n
ParoKwa: rAw/a__n
paropajIvI: ajAwI/__adj
parosa: uT/a__v
ParSI: ajAwI/__adj
pArSvavarwI: ajAwI/__adj
pArtI: ladak/I__n
parvawamAlA: ASA/__n
parvawavAsinI: ladak/I__n
pArvawI: ladak/I__n
paryApwi: Apawwi/__n
paryAyavAcI: ajAwI/__adj
pAsabuka: rAw/a__n
pasA: KA/__v
Pasala: rAw/a__n
PasalI: ajAwI/__adj
pasalI: ladak/I__n
pasaMxa: rAw/a__n
paScimI: ajAwI/__adj
paserI: ladak/I__n
pasIja: uT/a__v
patAI: ladak/I__n
pAta: uT/a__v
Pataka: uT/a__v
PatakAra: uT/a__v
patakutI: ladak/I__n
pAtana: rAw/a__n
PataPatA: KA/__v
patarAnI: ladak/I__n
patarI: ladak/I__n
patavA: KA/__v
pataXArI: ajAwI/__adj
pattanI: ladak/I__n
pattI: ladak/I__n
pattIxArI: ladak/I__n
pATyapuswaka: rAw/a__n
PAvadI: ladak/I__n
pavanacakkI: ladak/I__n
pAvarotI: ladak/I__n
pAvawI: ladak/I__n
paviwrI: ladak/I__n
Pawaha: rAw/a__n
pawAkI: ajAwI/__adj
pAwakI: ajAwI/__adj
pawalUna: rAw/a__n
pawaMga: rAw/a__n
paWarA: KA/__v
paWarI: ladak/I__n
paWarOtI: ladak/I__n
pawavAra: rAw/a__n
pawiBakwi: SAnwi/__n
pawIlI: ladak/I__n
pawnI: ladak/I__n
pawohU: bah/U__n
pawrAvalI: ladak/I__n
pawwala: rAw/a__n
pawwI: ladak/I__n
pAxa: uT/a__v
pAxAMguli: Apawwi/__n
paXarA: KA/__v
paXAra: uT/a__v
paXarAvanI: ladak/I__n
pAxaSAhI: ladak/I__n
paxAvalI: ladak/I__n
paxavI: ladak/I__n
paxonnawi: Apawwi/__n
paxXawi: Apawwi/__n
pAyala: rAw/a__n
PAzka: uT/a__v
PazsA: KA/__v
PAzsa: uT/a__v
PAzxa: uT/a__v
pecIxagI: ladak/I__n
pEdI: ladak/I__n
PEktarI: ladak/I__n
PElA: KA/__v
pelavA: KA/__v
peMga: rAw/a__n
PeMka: uT/a__v
peMSanaBogI: ladak/I__n
peMsila: rAw/a__n
PeMta: uT/a__v
pensila: rAw/a__n
peparamila: rAw/a__n
pEragAdI: ladak/I__n
PerI: ladak/I__n
pESAcI: ladak/I__n
peSI: ladak/I__n
pETA: KA/__v
petI: ladak/I__n
pEvaMxI: ajAwI/__adj
pExAiSa: rAw/a__n
piCada: uT/a__v
picakA: KA/__v
picakArI: ladak/I__n
pIDI: ladak/I__n
piGalA: KA/__v
PI: ajAwI/__adj
pI: p/I__v
pilA: KA/__v
pilapilA: KA/__v
pilavA: KA/__v
pIlI: ladak/I__n
Pilma: rAw/a__n
PilmI: ajAwI/__adj
piMdalI: ladak/I__n
pina: rAw/a__n
pipIlikA: ASA/__n
PirA: KA/__v
pIra: rAw/a__n
PirakI: ladak/I__n
piro: so/__v
PisaddI: ajAwI/__adj
pisA: KA/__v
PIsa: rAw/a__n
PisalAhata: rAw/a__n
PisalA: KA/__v
Pisala: uT/a__v
PisalanavAlA: kAl/A__adj
PisalanevAlA: kAl/A__adj
pisOnI: ladak/I__n
piswOla: rAw/a__n
pITa: rAw/a__n
pIta: uT/a__v
pitavA: KA/__v
pITI: ladak/I__n
piwAmahI: ladak/I__n
pIwapuRpI: ladak/I__n
Piwarawa: rAw/a__n
piwqBakwi: SAnwi/__n
piwqgAmI: ajAwI/__adj
piwqwiWi: SAnwi/__n
pizdalI: ladak/I__n
pleta: rAw/a__n
pODA: KA/__v
Poda: uT/a__v
po: redio/__n
POja: rAw/a__n
poKarI: ladak/I__n
POlAxI: ajAwI/__adj
poMCa: uT/a__v
pORkariNI: ladak/I__n
pOrNamAsI: ladak/I__n
poSAka: rAw/a__n
potalI: ladak/I__n
Poto: redio/__n
powa: uT/a__v
powI: ladak/I__n
poWI: ladak/I__n
pOwrI: ladak/I__n
pozCa: uT/a__v
pqRTagAmI: ajAwI/__adj
pqWivI: ladak/I__n
prabaMXasamiwi: Apawwi/__n
praBArI: ajAwI/__adj
praBAvI: ajAwI/__adj
praBAwaPerI: ladak/I__n
praBAwI: ladak/I__n
prAcInagAWA: ASA/__n
prAcyavix: BARAvix/__n
prahAsI: ajAwI/__adj
prahlAxI: ajAwI/__adj
prajAwi: Apawwi/__n
prajFapwi: Apawwi/__n
prajFI: ajAwI/__adj
PrAka: rAw/a__n
prakaMpI: ajAwI/__adj
prakIrwi: SAnwi/__n
pralApI: ajAwI/__adj
pralayakArI: ajAwI/__adj
pramAWI: ajAwI/__adj
pramiwi: Apawwi/__n
pramoxI: ajAwI/__adj
prANahArI: ajAwI/__adj
prANAhuwi: Apawwi/__n
praNASI: ajAwI/__adj
praNayI: ajAwI/__adj
prapaMcabuxXi: SAnwi/__n
prapaMcI: ajAwI/__adj
prapOwrI: ladak/I__n
prApwi: Apawwi/__n
prasakwi: Apawwi/__n
praSaswi: Apawwi/__n
prasAXanasAmagrI: ladak/I__n
prasAXanI: ladak/I__n
praSnowwarI: ladak/I__n
prasqwi: Apawwi/__n
prasUwi: Apawwi/__n
prasWiwi: Apawwi/__n
pravAsI: ajAwI/__adj
praviRti: Apawwi/__n
praviXi: Apawwi/__n
pravqwwi: Apawwi/__n
prawApI: ajAwI/__adj
prawi: Apawwi/__n
prawiBASAlI: ajAwI/__adj
prawiBUwi: Apawwi/__n
prawikqwi: Apawwi/__n
prawilabXi: Apawwi/__n
prawilipi: Apawwi/__n
prawimUrwi: Apawwi/__n
prawiniyukwi: Apawwi/__n
prawipawi: Apawwi/__n
prawiSruwi: Apawwi/__n
prawivarwI: ajAwI/__adj
prawiXvani: Apawwi/__n
prawyakRavAxI: ajAwI/__adj
prawyakRaxarSI: ajAwI/__adj
prawyakRI: ajAwI/__adj
prawyukwi: Apawwi/__n
prayogaviXi: Apawwi/__n
prayogI: ajAwI/__adj
prayukwi: Apawwi/__n
prekRAkArI: ajAwI/__adj
premaBakwi: SAnwi/__n
prewaSuxXi: SAnwi/__n
preyasI: ladak/I__n
PrI: ajAwI/__adj
priMtiMga: rAw/a__n
priyaBARI: ajAwI/__adj
priyakArI: ajAwI/__adj
prODokwi: Apawwi/__n
prOxyogikI: ladak/I__n
pucakAra: uT/a__v
pUdI: ladak/I__n
pudZI: ladak/I__n
PuhAra: rAw/a__n
pujA: KA/__v
pujavA: KA/__v
pukAra: uT/a__v
PulA: KA/__v
PulaJadI: ladak/I__n
PUlamawI: ladak/I__n
pulatisa: rAw/a__n
PUlavAlI: ladak/I__n
PulavArI: ladak/I__n
PuMkAra: rAw/a__n
PuMsI: ladak/I__n
PunagI: ladak/I__n
punarAvarwI: ajAwI/__adj
punarniyukwi: Apawwi/__n
punarukwi: Apawwi/__n
puNyaBUmi: Apawwi/__n
PuPakAra: uT/a__v
PUPI: ladak/I__n
pUrA: kAl/A__adj
Pura: rAw/a__n
PuraPurA: KA/__v
pUrI: ladak/I__n
puRkariNI: ladak/I__n
puRpAMjali: Apawwi/__n
puRpiNI: ladak/I__n
puRtaI: ladak/I__n
pUrvagAmI: ajAwI/__adj
pUrvI: ajAwI/__adj
purwagAlI: ladak/I__n
pUrwi: Apawwi/__n
PusalA: KA/__v
PusaPusAhata: rAw/a__n
puSwa: rAw/a__n
puswaka: rAw/a__n
puSwEnI: ajAwI/__adj
PutabAla: rAw/a__n
PUta: uT/a__v
PUtana: rAw/a__n
PUtIkOdI: ladak/I__n
puwalI: ladak/I__n
pUwi: Apawwi/__n
puwrArWI: ajAwI/__adj
puwravawI: ajAwI/__adj
puwravaXU: bah/U__n
puwrI: ladak/I__n
puwriNI: ajAwI/__adj
Puxaka: uT/a__v
pUzCa: rAw/a__n
Puzka: uT/a__v
PUzka: uT/a__v
PuzkAra: uT/a__v
qNagrAhI: ajAwI/__adj
qNamukwi: SAnwi/__n
qNaSuxXi: SAnwi/__n
qNaxAyI: ajAwI/__adj
qNI: ajAwI/__adj
qwavAxI: ajAwI/__adj
qwu: qwu/__n
rabada: rAw/a__n
racA: KA/__v
ragada: uT/a__v
ragadavA: KA/__v
raga: rAw/a__n
rAginI: ladak/I__n
rAha: rAw/a__n
rAiPala: rAw/a__n
raIsajAxI: ladak/I__n
rAjAgni: SAnwi/__n
rajAI: ladak/I__n
rAjAjFA: ASA/__n
rAjakumArI: ladak/I__n
rAjamahiRI: ladak/I__n
rAjapaxXawi: Apawwi/__n
rAjasI: ajAwI/__adj
rAjavixrohI: ajAwI/__adj
rAjavixyA: ASA/__n
rAjaXAnI: ladak/I__n
rajistarI: ladak/I__n
rajistrI: ladak/I__n
rajju: qwu/__n
rAjyacyuwi: SAnwi/__n
rAjyapariRaxa: rAw/a__n
rAjyASrayI: ajAwI/__adj
raKA: KA/__v
rakama: rAw/a__n
raKavA: KA/__v
raKela: rAw/a__n
rAKI: ladak/I__n
rakRApetI: ladak/I__n
rAkRasI: ladak/I__n
rakwagraMWi: Apawwi/__n
rakwanAdI: ladak/I__n
rakwanAla: rAw/a__n
ramA: KA/__v
rAmakahAnI: ladak/I__n
rAmAnaMxI: ajAwI/__adj
ramaNI: ladak/I__n
rAmAyaNa: rAw/a__n
rAmAyaNI: ajAwI/__adj
raMdI: ladak/I__n
raMgarelI: ladak/I__n
raMgaSAlA: ASA/__n
raMgawa: rAw/a__n
raMgInI: ladak/I__n
raMgolI: ladak/I__n
raMjiSa: rAw/a__n
raNaBerI: ladak/I__n
raNakAmI: ajAwI/__adj
raNanIwi: Apawwi/__n
rAnI: ladak/I__n
rapata: rAw/a__n
RaRtipUrwi: SAnwi/__n
rAsaBUmi: SAnwi/__n
rAsa: rAw/a__n
rasakeli: Apawwi/__n
rAsalIlA: ASA/__n
rAsamaMdalI: ladak/I__n
rasAsvAxI: ajAwI/__adj
rasavAhinI: ladak/I__n
rasaxa: rAw/a__n
rASi: Apawwi/__n
rasIxa: rAw/a__n
rasma: rAw/a__n
raSmi: Apawwi/__n
rAso: redio/__n
rassI: ladak/I__n
rAvI: ladak/I__n
rAwa: rAw/a__n
raWaSAlA: ASA/__n
raWI: ajAwI/__adj
rawnacCAyA: ASA/__n
rAwri: Apawwi/__n
rAwripATaSAlA: ASA/__n
rAyaltI: ladak/I__n
rAyaPala: rAw/a__n
razBA: KA/__v
razgarelI: ladak/I__n
razgavA: KA/__v
redio: redio/__n
rediyo: redio/__n
rejagI: ladak/I__n
relagAdI: ladak/I__n
rela: rAw/a__n
relalAina: rAw/a__n
rElI: ladak/I__n
reliMga: rAw/a__n
reMga: uT/a__v
rEna: rAw/a__n
revadI: ladak/I__n
rewa: uT/a__v
rewI: ladak/I__n
riAyawa: rAw/a__n
rihAyaSI: ladak/I__n
riJA: KA/__v
rikwi: Apawwi/__n
rIla: rAw/a__n
riporta: rAw/a__n
riSvawaKorI: ladak/I__n
rIwa: rAw/a__n
rIwi: Apawwi/__n
riwu: qwu/__n
riyAsawa: rAw/a__n
riyAsawI: ajAwI/__adj
riyAyawa: rAw/a__n
RodaSI: ladak/I__n
rodI: ladak/I__n
rohI: ajAwI/__adj
ro: so/__v
rokadabahI: ladak/I__n
romAvali: Apawwi/__n
romAvalI: ladak/I__n
rOMxa: uT/a__v
roSanAI: ladak/I__n
roSanI: ladak/I__n
rotI: ladak/I__n
rotIxAla: rAw/a__n
royAz: ku/Az__n
ruci: Apawwi/__n
rUDi: Apawwi/__n
rUha: rAw/a__n
rUhAnI: ajAwI/__adj
ruKasawI: ajAwI/__adj
rukavA: KA/__v
rulA: KA/__v
ruMxavA: KA/__v
rUTa: uT/a__v
ruzXa: uT/a__v
Sabanama: rAw/a__n
SabanamI: ladak/I__n
SAbarI: ladak/I__n
saBAsax: BARAvix/__n
sabjI: ladak/I__n
sabjImaMdI: ladak/I__n
