Non-Matching Entries:
nirarWakawA: ASA/__n
nirASA: kAl/A__n
nirASa: Gar/a__n
nIrasa: rAw/a__n
nirASAvAxa: Gar/a__n
nirASiRa: anek/a__adj
nirAsvAxa: anek/a__adj
niraswa: Karc/a__n
niraswrikaraNa: Gar/a__n
nirAvaraNa: anek/a__adj
nirAvqwa: anek/a__adj
nirAxara: wIn/a__adj
nirAXAra: wIn/a__adj
nirAyuXa: anek/a__adj
nirbala: rAw/a__n
nirbalawA: ASA/__n
nirbaMXana: Gar/a__n
nirBara: wIn/a__adj
nirBaya: rAw/a__n
nirBIka: wIn/a__adj
nirBinna: anek/a__adj
nirBrama: anek/a__adj
nirBrAMwa: anek/a__adj
niRecana: Gar/a__n
niReviwa: anek/a__adj
niReXa: rAw/a__n
niReXaka: wIn/a__adj
niReXana: Karc/a__n
nirgawa: rAw/a__n
nirIha: wIn/a__adj
nirIkRaka: rAw/a__n
nirIkRaNa: rAw/a__n
nirIkRiwa: anek/a__adj
nirIkRya: wIn/a__adj
nirIkRyamANa: anek/a__adj
nirISvara: anek/a__adj
niRixXa: wIn/a__adj
nirjala: Karc/a__n
nirJara: rAw/a__n
nirjIva: rAw/a__n
niRkalaMka: anek/a__adj
niRkAma: wIn/a__adj
niRkaMtaka: anek/a__adj
niRkapata: Karc/a__n
niRkAraNa: wIn/a__adj
niRkarmaNya: anek/a__adj
niRkarRa: rAw/a__n
niRkaruNa: anek/a__adj
niRkAsana: Gar/a__n
niRkAsiwa: wIn/a__adj
niRkqRta: anek/a__adj
niRkramaNa: Gar/a__n
niRkriya: wIn/a__adj
niRkriyawA: loh/A__n
nirlajjawA: gudiy/A__n
nirmala: rAw/a__n
nirmama: rAw/a__n
nirmamawA: gudiy/A__n
nirmANa: rAw/a__n
nirmiwa: rAw/a__n
nirmukwa: Karc/a__n
nirmUla: Karc/a__n
nirNaya: rAw/a__n
nirNAyaka: rAw/a__n
nirNAyakamawa: None
nirNIwa: anek/a__adj
niRpakRa: Gar/a__n
niRpakRawA: gudiy/A__n
niRPalA: kAl/A__n
niRPala: Gar/a__n
niRpanna: wIn/a__adj
niRpAxaka: wIn/a__adj
niRpAxana: Gar/a__n
niRpIdana: Gar/a__n
niRpraBa: anek/a__adj
niRpracAra: anek/a__adj
niRprakAraka: anek/a__adj
niRprawiBa: anek/a__adj
niRprawIkAra: anek/a__adj
niRTa: wIn/a__adj
niRTA: kAl/A__n
niRTura: Gar/a__n
niRTurawA: ASA/__n
nirUDa: anek/a__adj
nirUpa: wIn/a__adj
nirupajIvya: None
nirupama: anek/a__adj
nirUpaNA: kAl/A__n
nirUpaNa: Gar/a__n
nirupapawwi: None
nirupaskqwa: anek/a__adj
nirupaxrava: anek/a__adj
nirupayoga: anek/a__adj
nirUpiwa: anek/a__adj
nirUpya: anek/a__adj
niruwsAha: wIn/a__adj
niruxvega: anek/a__adj
niruxXa: anek/a__adj
niruxxeSya: anek/a__adj
niruxyama: wIn/a__adj
niruxyoga: anek/a__adj
nirvAcakagaNa: Gar/a__n
nirvAcakamaMdala: Gar/a__n
nirvAcakasaMGa: Gar/a__n
nirvAcakasUcI: None
nirvacana: wIn/a__adj
nirvAcana: Gar/a__n
nirvAcanakRewra: Gar/a__n
nirvAcanapaxaXikArI: None
nirvacanIya: anek/a__adj
nirvAciwa: wIn/a__adj
nirvAcya: anek/a__adj
nirvAha: rAw/a__n
nirvAhaka: wIn/a__adj
nirvahaNa: Gar/a__n
nirvAhaNa: Karc/a__n
nirvANa: Gar/a__n
nirvAsa: wIn/a__adj
nirvAsana: Gar/a__n
nirvAwa: wIn/a__adj
nirvEra: anek/a__adj
nirvexa: anek/a__adj
nirvicAra: wIn/a__adj
nirviGna: wIn/a__adj
nirvikalpa: wIn/a__adj
nirvikalpaka: wIn/a__adj
nirvikAra: anek/a__adj
nirviroXa: anek/a__adj
nirviSeRa: anek/a__adj
nirvivAxa: wIn/a__adj
nirvqwi: SAnwi/__n
nirvqwwa: anek/a__adj
nirxahana: Gar/a__n
nirxala: wIn/a__adj
nirxalIya: wIn/a__adj
nirXanawA: loh/A__n
nirXAra: rAw/a__n
nirxAraNa: Gar/a__n
nirXAriwa: wIn/a__adj
nirXArya: anek/a__adj
nirxaya: Gar/a__n
nirxayawA: loh/A__n
nirxeSagraMWa: None
nirxeSa: rAw/a__n
nirxeSaka: wIn/a__adj
nirxeSana: Gar/a__n
nirxeSapuswaka: Gar/a__n
nirxeSikA: gudiy/A__n
nirxiRta: wIn/a__adj
nirxoRa: rAw/a__n
nirxoRawA: gudiy/A__n
niryANa: Gar/a__n
niryAwa: rAw/a__n
niryAwaka: rAw/a__n
niryAwana: Gar/a__n
niryawraNa: anek/a__adj
niSAcara: wIn/a__adj
niSAgqha: Gar/a__n
niSA: kAl/A__n
niSAkAMwa: Gar/a__n
niSAkara: Karc/a__n
niSAkewu: None
niSAna: rAw/a__n
niSAnA: kAl/A__n
niSAnaxehI: Axam/I__n
niSAnI: ladak/I__n
niScakRu: None
niSCala: Gar/a__n
niScaya: rAw/a__n
niScayAwmaka: anek/a__adj
niSciMwawA: gudiy/A__n
niSciwa: rAw/a__n
niSIWa: rAw/a__n
niSIWinI: Axam/I__n
nissaMkoca: Gar/a__n
nissaMwAna: Gar/a__n
nissaMxeha: Gar/a__n
nissawwva: anek/a__adj
nissneha: anek/a__adj
niSSulka: Gar/a__n
nissvArWa: Gar/a__n
niSvAsa: rAw/a__n
niswabXa: anek/a__adj
niswAra: rAw/a__n
niswAraNa: Gar/a__n
niswrEguNya: anek/a__adj
niTallA: kAl/A__adj
niTallApana: Gar/a__n
nivAda: Karc/a__n
nivAdI: Axam/I__n
nivAlA: kAl/A__adj
nivAra: rAw/a__n
nIvAra: Gar/a__n
nivAraka: wIn/a__adj
nivAraNa: Gar/a__n
nivarwamAna: wIn/a__adj
nivAsa: rAw/a__n
nivAsI: ladak/I__n
niveSa: rAw/a__n
niveSana: Gar/a__n
nivexaka: wIn/a__adj
nivexana: Gar/a__n
nivexiwa: wIn/a__adj
nivida: anek/a__adj
nivixA: kAl/A__n
nivqwa: rAw/a__n
nivqwwa: Gar/a__n
nivqwwAwmA: jyAx/A__adj
nivqwwi: Apawwi/__n
nivqwwivewana: Gar/a__n
nIwa: wIn/a__adj
niwa: rAw/a__n
niWara: xiK/a__v
nIwikuSala: anek/a__adj
nIwinipuNa: wIn/a__adj
nIwiSAswra: Gar/a__n
nIwivAxa: Gar/a__n
nIwivijFAna: Gar/a__n
nIwivixyA: loh/A__n
niwyABiyukwa: wIn/a__adj
niwyacaryA: gudiy/A__n
niwyajAwa: anek/a__adj
niwyamukwa: Gar/a__n
niwyAnaMxa: Gar/a__n
niwyanarwwa: Gar/a__n
niwyAniwya: wIn/a__adj
niwyaniyama: Gar/a__n
niwyapralaya: Gar/a__n
niwyasevaka: anek/a__adj
niwyavrawa: Karc/a__n
niwyawA: loh/A__n
niwyaxAna: Karc/a__n
niwyayOvanA: gudiy/A__n
niwyayukwa: anek/a__adj
nixAGa: Gar/a__n
nixAGakAla: Karc/a__n
nixAnagqha: Gar/a__n
nixAna: rAw/a__n
niXana: rAw/a__n
nixeRtA: None
nixeSa: rAw/a__n
nixeSaka: rAw/a__n
nixeSikA: gudiy/A__n
nixrABaMga: Karc/a__n
nixrA: kAl/A__n
nixrAyamANa: anek/a__adj
niyamabaxXa: anek/a__adj
niyama: rAw/a__n
niyAmaka: rAw/a__n
niyamana: rAw/a__n
niyamaniRTA: gudiy/A__n
niyamAnusAra: Karc/a__n
niyamasevA: gudiy/A__n
niyamAvalI: ladak/I__n
niyamiwa: Gar/a__n
niyamiwawA: gudiy/A__n
niyaMwA: kAl/A__adj
niyaMwraNa: rAw/a__n
niyaMwriwa: wIn/a__adj
niyamya: wIn/a__adj
nIyawa: rAw/a__n
niyawa: rAw/a__n
niyawAMSa: Gar/a__n
niyawAwmA: gudiy/A__n
niyaweMxriya: anek/a__adj
niyawivAxa: Gar/a__n
niyoga: rAw/a__n
niyogya: anek/a__adj
niyojana: rAw/a__n
niyojanakeMxra: None
niyojiwa: wIn/a__adj
niyojya: wIn/a__adj
niyokwA: gudiy/A__n
niyokwavya: anek/a__adj
niyukwa: Gar/a__n
niyuxXa: Karc/a__n
nObAlA: None
noca: xiK/a__v
nO: lO/__n
nOjavAna: rAw/a__n
nOjavAnI: Axam/I__n
nOjIvika: None
nOKA: kAl/A__n
nOkA: kAl/A__n
nokaJoMka: Karc/a__n
nOkara: rAw/a__n
nOkaraSAhI: ladak/I__n
nOkarIpeSA: kAl/A__adj
nOkarNa: Gar/a__n
nokaxAra: anek/a__adj
nOlaKA: kAl/A__adj
nOnihAla: rAw/a__n
nOpawi: Apawwi/__n
nOsenA: loh/A__n
nOsiKiyA: jyAx/A__adj
nota: rAw/a__n
notapepara: Gar/a__n
notisa: rAw/a__n
nOXAra: Gar/a__n
nqga: Gar/a__n
nqloka: Karc/a__n
nqpa: rAw/a__n
nqpAnna: Gar/a__n
nqpAsana: Karc/a__n
nqpawi: Apawwi/__n
nqpAwmajA: loh/A__n
nqpAwmaja: Karc/a__n
nqpociwa: anek/a__adj
nqSaMsa: wIn/a__adj
nqvijFAna: Gar/a__n
nqwya: rAw/a__n
nqwyaSAlA: gudiy/A__n
nqwyasWAna: None
nukasAna: rAw/a__n
nukawAcInI: Axam/I__n
nukIlA: kAl/A__adj
nuksa: rAw/a__n
numA: kAl/A__adj
nUpura: rAw/a__n
nUra: Gar/a__n
nusaKA: kAl/A__adj
nUwana: wIn/a__adj
nUwanawA: ASA/__n
nyArA: kAl/A__adj
nyAsa: rAw/a__n
nyasana: Gar/a__n
nyaswa: anek/a__adj
nyAya: rAw/a__n
nyAyajFa: Gar/a__n
nyAyakarwA: gudiy/A__n
nyAyAlaya: rAw/a__n
nyAyapAlikA: gudiy/A__n
nyAyaparawA: jyAx/A__adj
nyAyaparAyaNa: wIn/a__adj
nyAyapaWa: Gar/a__n
nyAyapITa: rAw/a__n
nyAyapriya: wIn/a__adj
nyAyAXikaraNa: rAw/a__n
nyAyAXipawi: Apawwi/__n
nyAyAXISa: rAw/a__n
nyAyociwa: anek/a__adj
nyoCAvara: wIn/a__adj
nyowA: kAl/A__adj
nyUna: wIn/a__adj
nyUnakoNa: Gar/a__n
nyUnawA: kAl/A__n
nyUnawriBuja: None
oCA: kAl/A__adj
oCApana: Gar/a__n
Ocata: Gar/a__n
oDA: W/A__v
oDa: xiK/a__v
OGada: Gar/a__n
oha: rAw/a__n
ohAra: Karc/a__n
ohaxA: kAl/A__adj
ohaxexArI: Axam/I__n
O: lO/__n
oja: rAw/a__n
oJA: kAl/A__n
oJala: Gar/a__n
OjAra: rAw/a__n
ojasviwA: gudiy/A__n
Ojasya: Gar/a__n
ojona: Karc/a__n
oKala: Gar/a__n
okAra: Gar/a__n
OkAwa: rAw/a__n
olA: kAl/A__adj
OliyA: jyAx/A__adj
OlUkya: Gar/a__n
oma: rAw/a__n
oMkAra: Gar/a__n
OMXA: kAl/A__adj
OpacArika: anek/a__adj
Opamya: Karc/a__n
OpaniRaxa: wIn/a__adj
OpaniveSika: wIn/a__adj
OpanyAsika: wIn/a__adj
OpapAwika: Gar/a__n
Opapawwika: anek/a__adj
Opasargika: anek/a__adj
OpavAsa: None
OpaxeSika: anek/a__adj
Opaxravika: anek/a__adj
Opayogika: anek/a__adj
Orasa: wIn/a__adj
ORaXa: rAw/a__n
ORaXAlaya: rAw/a__n
ORaXanirxeSa: Gar/a__n
ORtra: anek/a__adj
ORTya: anek/a__adj
osa: rAw/a__n
OsAna: Karc/a__n
Osawa: rAw/a__n
Osawana: Karc/a__n
ota: xiK/a__v
OtA: W/A__v
oTa: rAw/a__n
Ota: xiK/a__v
Ovala: anek/a__adj
ovara: rAw/a__n
owa: rAw/a__n
owaprowa: anek/a__adj
OwkaMTya: None
Owsa: anek/a__adj
Owsargika: wIn/a__adj
Owsukya: Karc/a__n
oxana: Gar/a__n
Oxarika: Gar/a__n
OxArya: anek/a__adj
OxaSviwa: None
OxuMbara: wIn/a__adj
OxXogika: Gar/a__n
Oxyogika: wIn/a__adj
OxyogikIkaraNa: Gar/a__n
ozTa: None
OzXA: kAl/A__adj
pAbaMxa: Gar/a__n
pablika: Gar/a__n
pacadA: kAl/A__adj
pacA: W/A__v
paca: xiK/a__v
pAcaka: wIn/a__adj
pacanAgAra: Karc/a__n
pacana: rAw/a__n
pAcana: rAw/a__n
pAcanaSakwi: Apawwi/__n
pAcanIya: wIn/a__adj
pacapacA: kAl/A__adj
pacapaca: Karc/a__n
pacAsa: rAw/a__n
paCawA: W/A__v
paCawAvA: ladak/A__n
paccara: rAw/a__n
paccIsa: rAw/a__n
paciwa: wIn/a__adj
pAcya: anek/a__adj
paDA: W/A__v
pada: xiK/a__v
paDa: xiK/a__v
PadakA: W/A__v
Padakana: Karc/a__n
PadaPadA: W/A__v
PadavA: W/A__v
padawI: Axam/I__n
padosI: ladak/I__n
pAdZa: rAw/a__n
padZOsI: Axam/I__n
pagadaMdI: ladak/I__n
pagA: W/A__v
PAga: rAw/a__n
paga: rAw/a__n
pagalA: kAl/A__adj
pAgalaKAnA: kAl/A__adj
pAgalinI: Axam/I__n
pagAra: rAw/a__n
pAglapana: None
Pagunahata: Karc/a__n
PAguna: Gar/a__n
pahAda: rAw/a__n
pahAdA: kAl/A__adj
PAhA: kAl/A__adj
pahala: rAw/a__n
pahalA: kAl/A__adj
pahalakaxamI: ladak/I__n
pahalavAna: rAw/a__n
pahalavAnI: Axam/I__n
pahalU: bah/U__n
pahanA: W/A__v
pahana: xiK/a__v
pahanAvA: kAl/A__adj
PaharA: W/A__v
pahara: rAw/a__n
paharA: kAl/A__adj
Pahara: k/ara__v
paharAvA: kAl/A__adj
paharexArI: ladak/I__n
pahiyA: kAl/A__adj
pahunAI: Axam/I__n
pahuzca: xiK/a__v
pahuzcA: W/A__v
pAI: ladak/I__n
PAina: rAw/a__n
PAinala: Gar/a__n
pAipa: rAw/a__n
pA: W/A__v
pa: rAw/a__n
PajIhawa: rAw/a__n
pAjI: ladak/I__n
PAjila: rAw/a__n
pAjIpana: Gar/a__n
PajUla: anek/a__adj
PajUlaKarca: wIn/a__adj
PajulaKarcI: Axam/I__n
PajUlaKarcI: ladak/I__n
pakada: xiK/a__v
PakadA: kAl/A__adj
pakadavA: W/A__v
pakA: W/A__v
pAka: rAw/a__n
PAkA: kAl/A__adj
paka: xiK/a__v
pAkakriyA: gudiy/A__n
pAKaMda: Gar/a__n
pAKAnA: kAl/A__adj
pAkanajara: Gar/a__n
pAkaSAlA: loh/A__n
pakavA: W/A__v
paKAvaja: rAw/a__n
pakavAna: rAw/a__n
paKavArA: kAl/A__adj
pAkaxAmana: wIn/a__adj
pAkaxila: anek/a__adj
pAketa: rAw/a__n
pAketamArI: Axam/I__n
pAkIjA: kAl/A__adj
PakIra: rAw/a__n
PakIrI: Axam/I__n
pAkiswAna: rAw/a__n
PakkadabAja: None
Pakkada: Gar/a__n
pakkA: kAl/A__n
pakOdA: kAl/A__adj
pakRaGAwa: Karc/a__n
pakRAGAwa: Gar/a__n
pakRagrahaNa: Gar/a__n
pakRahara: Gar/a__n
pakRAhAra: Gar/a__n
pakRa: rAw/a__n
pakRAMwa: Karc/a__n
pakRAMwara: rAw/a__n
pakRapAwa: rAw/a__n
pakRavAxa: Gar/a__n
pakRaXara: Gar/a__n
pakRI: ladak/I__n
pAkRika: wIn/a__adj
pakva: wIn/a__adj
pakvAnna: Gar/a__n
pakvawA: ladak/A__n
pakwA: kAl/A__adj
pakwavya: anek/a__adj
paladA: kAl/A__adj
PalAgama: Karc/a__n
PalAhAra: Gar/a__n
PalahArI: Axam/I__n
PalahIna: anek/a__adj
PAla: rAw/a__n
pala: xiK/a__v
pAla: xiK/a__v
Pala: xiK/a__v
pAlA: kAl/A__n
Palaka: rAw/a__n
pAlaka: rAw/a__n
PalakAma: anek/a__adj
PalAkAMkRA: gudiy/A__n
palaMga: rAw/a__n
palaMgawoda: None
PalAMSa: Karc/a__n
pAlana: wIn/a__adj
Palana: rAw/a__n
PalAnA: kAl/A__adj
pAlanIya: anek/a__adj
PalAnubaMXa: Gar/a__n
PalAPala: Gar/a__n
PalapAxapa: Gar/a__n
PalApekRA: gudiy/A__n
palASa: Gar/a__n
PalAsakwa: anek/a__adj
palaswara: Gar/a__n
palatA: kAl/A__adj
palata: xiK/a__v
PalavAn: None
palaWI: Axam/I__n
pAlaWI: Axam/I__n
PAlawU: Al/U__n
PalaxAna: Gar/a__n
PalaxAra: anek/a__adj
PalaxAyaka: anek/a__adj
PalAxeSa: Gar/a__n
palAyamAna: anek/a__adj
palAyana: Gar/a__n
palAyanavAxa: Gar/a__n
palAyiwa: anek/a__adj
pAlayiwA: jyAx/A__adj
Palazga: Gar/a__n
PalAz: None
PalAzPalAz: None
PAlguna: Gar/a__n
PalgunI: Axam/I__n
PAlgunI: ajAwI/__adj
PalIBUwa: anek/a__adj
pAli: Apawwi/__n
pAlikA: kAl/A__n
palisI: Axam/I__n
pAliwa: wIn/a__adj
Paliwa: wIn/a__adj
palIwA: kAl/A__adj
PaliwArWa: Gar/a__n
PalIxAra: anek/a__adj
pallA: kAl/A__adj
pallavagrAhipAMdiwya: None
pallavagrAhiwA: gudiy/A__n
pallava: Gar/a__n
pallaviwa: anek/a__adj
pallexAra: Gar/a__n
pallikA: gudiy/A__n
PaloxBava: anek/a__adj
pAmara: wIn/a__adj
paMcabatI: Axam/I__n
paMcaBuja: wIn/a__adj
paMcaBUwa: Gar/a__n
paMcagaMgA: gudiy/A__n
paMcagavya: Gar/a__n
paMcAgni: Apawwi/__n
paMcagOda: Gar/a__n
paMcagrAsa: Gar/a__n
paMcaguNa: Karc/a__n
paMca: rAw/a__n
paMcajana: Gar/a__n
paMcajanI: Axam/I__n
paMcaka: wIn/a__adj
paMcakAma: Gar/a__n
paMcakapAla: Gar/a__n
paMcakaraNa: Gar/a__n
paMcakarma: Gar/a__n
paMcakarmI: Axam/I__n
paMcakavala: Gar/a__n
paMcakleSa: Gar/a__n
paMcakoNa: Gar/a__n
paMcakoSa: rAw/a__n
paMcakosI: Axam/I__n
paMcakqwya: Gar/a__n
paMcakroSI: Axam/I__n
pAMcAla: wIn/a__adj
pAMcAlI: Axam/I__n
paMcamahApAwaka: Gar/a__n
paMcamahAyajFa: Gar/a__n
paMcama: wIn/a__adj
paMcAMga: wIn/a__adj
paMcamI: ladak/I__n
paMcAmqwa: wIn/a__adj
paMcamuKa: Gar/a__n
paMcamuKI: Axam/I__n
paMcamUla: wIn/a__adj
paMcanaKa: wIn/a__adj
paMcanAmA: kAl/A__adj
paMcAnana: wIn/a__adj
pAMcanaxa: anek/a__adj
paMcanaxa: Gar/a__n
paMcarAwra: Gar/a__n
paMcaSIla: Gar/a__n
paMcavakwra: anek/a__adj
paMcavarga: Gar/a__n
paMcavarNa: Gar/a__n
paMcawaMwra: Gar/a__n
paMcawanmAwra: Gar/a__n
paMcawatI: Axam/I__n
paMcawawwva: Gar/a__n
paMcaxeva: Gar/a__n
paMcaxravida: Gar/a__n
paMceMxriya: rAw/a__n
paMcI: ladak/I__n
paMCI: ladak/I__n
paMcIkaraNa: Gar/a__n
paMcIkqwa: anek/a__adj
PaMda: rAw/a__n
paMdA: kAl/A__n
paMdAla: rAw/a__n
pAMdava: rAw/a__n
pAMdeya: Karc/a__n
paMdiwAI: Axam/I__n
paMdiwa: rAw/a__n
paMdiwammanya: wIn/a__adj
paMdiwarAja: Gar/a__n
paMdiwasaBA: gudiy/A__n
paMdiwAU: Al/U__n
pAMdiwya: Karc/a__n
pAMduBUma: None
pAMdu: qwu/__n
pAMdukaMbala: Gar/a__n
pAMdura: Gar/a__n
pAMduroga: Gar/a__n
paMgu: qwu/__n
paMjA: kAl/A__adj
paMjara: rAw/a__n
paMjI: ladak/I__n
paMjikAra: Gar/a__n
paMjikqwa: anek/a__adj
paMjIrI: Axam/I__n
paMjIyaka: Gar/a__n
paMjIyana: Gar/a__n
paMkacara: Gar/a__n
paMka: rAw/a__n
paMKa: rAw/a__n
paMKA: kAl/A__adj
paMkaja: wIn/a__adj
paMkajAsana: Gar/a__n
paMkila: anek/a__adj
paMkwibaxXa: wIn/a__adj
paMkwicyuwa: anek/a__adj
paMkwipAvana: Gar/a__n
paMpa: rAw/a__n
paMsArI: ladak/I__n
paMserI: ladak/I__n
PAMta: rAw/a__n
paMWa: rAw/a__n
paMWI: ladak/I__n
PaMxA: kAl/A__adj
panabijalI: Axam/I__n
panadubbA: kAl/A__adj
panaGata: Gar/a__n
panahArA: kAl/A__adj
panKA: loh/A__n
pana: rAw/a__n
pAna: rAw/a__n
Pana: rAw/a__n
PaNa: rAw/a__n
panA: kAl/A__adj
panakatA: kAl/A__adj
panapa: xiK/a__v
pAnapawwA: kAl/A__adj
pAnaPUla: Gar/a__n
panasa: rAw/a__n
pAnasupArI: Axam/I__n
panavAdI: ladak/I__n
paNava: rAw/a__n
paNavAnaka: Gar/a__n
PaNIBARiwa: None
PaNIBARya: None
paNIcakra: None
pANigqhIwI: Axam/I__n
pANigrahaNa: Gar/a__n
pANigrahIwA: gudiy/A__n
panihA: jyAx/A__adj
pAnI: ladak/I__n
paNI: ladak/I__n
paNIkanyA: None
paNIkesara: None
pANimUla: Karc/a__n
PaNIMxra: Gar/a__n
pANini: SAnwi/__n
pANinIya: wIn/a__adj
pANipallava: Gar/a__n
pANipAxa: Gar/a__n
panIra: rAw/a__n
pANireKA: gudiy/A__n
PaNISvara: Gar/a__n
pAnIxAra: wIn/a__adj
pAnIya: wIn/a__adj
pannaga: rAw/a__n
pannA: kAl/A__adj
PannI: Axam/I__n
pApabuxXi: None
pApAcAra: Gar/a__n
papadI: ladak/I__n
pApA: kAl/A__n
pApa: rAw/a__n
pApakara: anek/a__adj
pApakAraka: Karc/a__n
pApakarma: Gar/a__n
pApakarmI: ajAwI/__adj
pApakRaya: Karc/a__n
pApaloka: Gar/a__n
pApanASaka: anek/a__adj
pApanASinI: Axam/I__n
pApAnubaMXa: Gar/a__n
pApaPala: wIn/a__adj
pApapuruRa: Gar/a__n
pAparoga: Gar/a__n
pApAwmA: jyAx/A__adj
pApAXama: Gar/a__n
papIhA: kAl/A__adj
pApI: ladak/I__n
pApiRTa: wIn/a__adj
papIwA: kAl/A__adj
PaPolA: kAl/A__adj
PaPUzxI: ladak/I__n
paraBARA: kAl/A__n
parABava: rAw/a__n
parABUwa: wIn/a__adj
parABUwi: SAnwi/__n
paracA: kAl/A__adj
paraCana: Karc/a__n
paracUna: Gar/a__n
parAfamuKa: anek/a__adj
pAraga: wIn/a__adj
parAga: rAw/a__n
parAgakesara: Gar/a__n
parAgakoSa: Gar/a__n
paraganA: kAl/A__adj
parAhawa: anek/a__adj
parahiwa: Gar/a__n
parAhNa: Karc/a__n
Para: rAw/a__n
parA: kAl/A__n
pArA: kAl/A__n
parajAwa: anek/a__adj
parAjaya: rAw/a__n
parajIvI: ladak/I__n
parAjiwa: rAw/a__n
paraKa: xiK/a__v
parAkARTA: loh/A__n
parAkASa: Karc/a__n
parakatA: kAl/A__adj
parakIya: wIn/a__adj
parakotA: kAl/A__adj
parAkrama: rAw/a__n
ParalAMga: Gar/a__n
paraloka: rAw/a__n
pAralOkika: anek/a__adj
paramahaMsa: Gar/a__n
parama: wIn/a__adj
PArama: rAw/a__n
ParamAna: rAw/a__n
paramAnaMxa: rAw/a__n
paramANubama: rAw/a__n
paramANuBAra: Gar/a__n
paramANu: qwu/__n
paramANuvAxa: Gar/a__n
paramaPala: Gar/a__n
paramapaxa: Gar/a__n
paramAra: rAw/a__n
paramarRi: Apawwi/__n
parAmarSa: Gar/a__n
parAmarSaxAwA: jyAx/A__adj
parAmarSI: Axam/I__n
paramArWa: Gar/a__n
pAramArWika: wIn/a__adj
paramasawwA: gudiy/A__n
paramawawwva: Gar/a__n
paramaXAma: Gar/a__n
paramAxeSa: Gar/a__n
paramAxvEwa: Gar/a__n
parameRTinI: Axam/I__n
parameSvara: rAw/a__n
parameSvarI: Axam/I__n
pAraMgawa: wIn/a__adj
paramita: rAw/a__n
paraMparAgawa: wIn/a__adj
paraMparA: kAl/A__n
pAraMparINa: anek/a__adj
pAraMparIya: anek/a__adj
paraMpaxa: Karc/a__n
parAmqRta: anek/a__adj
paramuKApekRiwA: gudiy/A__n
parAMwa: Gar/a__n
parAMwakAla: Karc/a__n
paraMwapa: anek/a__adj
pAraNA: kAl/A__n
pAraNa: rAw/a__n
pARANa: rAw/a__n
paranAlA: kAl/A__adj
paranAnA: kAl/A__n
parAnna: Karc/a__n
parapakRa: Gar/a__n
paraparAhata: Gar/a__n
parApara: wIn/a__adj
paraparA: W/A__v
pArapawra: Gar/a__n
ParAra: rAw/a__n
parArWa: rAw/a__n
parArxXa: Karc/a__n
parasA: W/A__v
pArasa: rAw/a__n
ParaSa: rAw/a__n
ParasA: kAl/A__adj
parasa: xiK/a__v
pArasI: ladak/I__n
parasparawA: loh/A__n
pArasparika: Gar/a__n
parASraya: Gar/a__n
parASrayI: Axam/I__n
paraSu: qwu/__n
paraSurAma: Karc/a__n
paraSuXara: Gar/a__n
parAswa: wIn/a__adj
parATA: kAl/A__adj
paravAha: rAw/a__n
paravala: rAw/a__n
paravAnA: kAl/A__adj
ParavarI: ladak/I__n
pArAvArINa: anek/a__adj
paravariSa: Karc/a__n
parAvarwana: Gar/a__n
paravarwI: Axam/I__n
parAvarwiwa: anek/a__adj
parAvarwya: anek/a__adj
paravaSa: Karc/a__n
parAvqwwa: wIn/a__adj
parawaMwra: Gar/a__n
parawaMwrawA: ASA/__n
parAwmA: jyAx/A__adj
parAwpara: anek/a__adj
paraxA: kAl/A__adj
pAraxArika: Gar/a__n
pAraxarSaka: wIn/a__adj
pAraxarSiwA: gudiy/A__n
paraxAxA: kAl/A__n
paraxAxAra: wIn/a__adj
paraxeSa: rAw/a__n
paraxeSI: ladak/I__n
parAXIna: Gar/a__n
parAXInawA: ladak/A__n
parAyA: kAl/A__adj
parAyaNa: wIn/a__adj
pArAyaNa: rAw/a__n
parAzTA: jyAx/A__adj
parcA: kAl/A__adj
pareda: rAw/a__n
pareSAna: wIn/a__adj
pariBakRaNa: Gar/a__n
pariBaMga: None
paribaMXana: Gar/a__n
pariBARA: kAl/A__n
pariBARaNa: Karc/a__n
pAriBARika: wIn/a__adj
pariBARiwa: anek/a__adj
pariBARya: wIn/a__adj
pariBava: Karc/a__n
pariBAva: Gar/a__n
parIBAva: Gar/a__n
pariBAvanA: gudiy/A__n
pariBavana: Gar/a__n
pariBavanIya: anek/a__adj
pariBAviwa: anek/a__adj
paribAXA: pIdZ/A__n
pariBinna: anek/a__adj
pariBoga: Gar/a__n
pariboXanA: None
pariboXana: Gar/a__n
paribqMhiwa: anek/a__adj
pariBrama: Gar/a__n
pariBramaNa: Gar/a__n
pariBraRta: wIn/a__adj
pariBukwa: anek/a__adj
pariBURiwa: anek/a__adj
pariBUwa: anek/a__adj
paricAlaka: wIn/a__adj
paricAlana: Gar/a__n
paricAliwa: anek/a__adj
paricara: Gar/a__n
paricArikA: kAl/A__n
paricaryA: gudiy/A__n
paricaya: Gar/a__n
paricCanna: anek/a__adj
paricCexa: rAw/a__n
paricCexana: Karc/a__n
pariciMwana: Gar/a__n
pariciwa: rAw/a__n
parigaliwa: anek/a__adj
parigaNana: Gar/a__n
parigaNanIya: anek/a__adj
parigaNiwa: wIn/a__adj
parigarviwa: anek/a__adj
pariGAwa: Gar/a__n
pariGAwana: Gar/a__n
pariGoRa: Gar/a__n
parigqhIwa: anek/a__adj
parigqhIwA: loh/A__n
parigraha: rAw/a__n
parigrahaNa: Gar/a__n
parigrAhya: anek/a__adj
